animal.tag;substance;random;noisywinstay;dual;fictitious;hybrid;forgetful;Qd;Qd+fictitious;Qd+hybrid;bd;bd+fictitious
900110000324268;alcohol+saccharin;225.28115;227.031586;-22.5302939999997;129.318668;-31.9398959999999;1.34200700000019;-22.4015419999996;221.727251;9.43024500000001;1.97909500000014;131.350665
900110000324321;saccharin;216.975314;174.730537;1.55025500000011;29.9039039999998;-48.077722;-1.368966;-36.9965150000003;18.397571;-46.324396;2.00003100000004;31.90391
900110000324322;saccharin;56.621867;48.050746;-13.0215464;-15.65062;-15.9604955999999;-12.3794859;-29.2466137;-21.8437504999999;-27.1965843;1.980864;-14.2569311
900110000324323;saccharin;188.848025;123.5852039;-36.843707;-49.2790802;-90.817194;-38.8978052;-98.8232558;-54.4620920999999;-99.4775225;-5.38817719999997;-52.9621106999999
900110000324324;saccharin;79.4762149000001;51.6926175000001;-3.65666229999999;-17.4619027;-32.6401879;-13.0684526;-27.4861123999999;-15.4618964;-30.6401711999999;2.00000120000004;-15.4619018
900110000324325;saccharin;146.900257;127.859234;1.72736400000008;-13.8025130000001;-51.7909589999999;-15.0960379999999;-37.8887810000001;-11.8025010000001;-49.769832;2.00000699999987;-11.8024869999999
900110000324326;saccharin;34.4751369999999;32.6140169999999;0.0498979999997573;-3.99689200000012;-18.472064;-1.95766400000002;-12.8745330000002;-1.99688300000025;-7.24312800000007;2.00001199999997;-1.99689000000035
900110000324327;saccharin;69.4084520000001;58.0224380000004;1.08481900000015;-7.08033399999977;-26.5578839999998;-3.63987899999984;-19.9063809999998;-5.08033099999966;-24.6526879999997;2.00001100000009;-5.0802719999997
900110000324328;saccharin;18.0217709999999;16.968183;1.28771399999982;0.286115999999993;0.962215000000015;1.99999899999989;24.0217709999999;2.28613699999983;2.99783400000001;2.00002799999993;4.50696599999992
900110000324329;saccharin;106.451089;89.0839210000004;-1.90123299999959;26.7473720000003;-13.5243069999997;-0.822641999999632;-11.8977179999997;21.6750490000004;-12.4908169999999;2.00005499999997;26.7063480000002
